url,ip,nb_www,nb_com,nb_dslash,http_in_path,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,nb_extCSS,ratio_extRedirection,ratio_extErrors,login_form,external_favicon,links_in_tags,ratio_intMedia,ratio_extMedia,sfh,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,status,URL_length,Domain_Length,SpecialCharacters,Tokens,Digits_URL,Digits_Domain
https://www.disabilitysecrets.com/,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,17,17,0,10.0,10.0,0.0,0,0,0,0,0,0,192,0.760416667,0.239583333,2,0.195652174,0.043478261,0,1,75.0,66.66666667,33.33333333,0,0,0,12.5,0,0,0,0,1,0,355,6220,113965,0,0,4,0,34,25,6,isHttps,0,0
http://mnsglobal.ge/a2/login/mobile.de/tanValidate.php,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,7,0,2,9,2,11,9,11,5.428571429,9.0,4.833333333,1,0,0,0,0,0,12,0.166666667,0.833333333,2,0.0,0.0,0,1,0.0,0.0,0.0,0,0,0,100.0,0,0,0,1,0,1,0,-1,10288277,0,1,0,1,54,12,11,False,1,0
http://idealcaisse.fr/cs/,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,11,2,11,11,2,6.5,11.0,2.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,47,1780,0,0,0,0,1,25,14,6,False,0,0
http://xmley.codesandbox.io/index3.html,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,4,0,4,5,4,11,11,6,6.5,8.0,5.0,0,0,0,0,0,0,8,1.0,0.0,0,0.0,0.0,0,0,100.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,123,1337,20989,0,1,6,1,39,20,8,False,1,0
http://www.amsoil.com/shop/by-product/transmission-fluid/manual/,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,8,4,2,3,2,12,6,12,5.625,4.5,6.0,0,0,0,0,0,0,685,0.944525547,0.055474453,0,0.078947368,0.0,0,1,90.0,60.86956522,39.13043478,0,0,0,85.41666667,0,0,0,0,0,0,365,8765,76848,0,0,6,0,64,14,12,False,0,0
http://vps-2303d288.vps.ovh.net/,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,4,1,3,3,0,8,8,0,4.25,4.25,0.0,0,0,0,0,0,0,21,0.428571429,0.571428571,0,0.75,0.0,0,0,0.0,100.0,0.0,0,0,0,0.0,0,0,0,1,1,0,1767,8093,3612,0,1,4,1,32,24,15,False,7,7
http://tvline.com/2016/10/17/switched-at-birth-season-5-premiere-date-final-episodes/,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13,0,1,6,1,8,6,8,4.692307692,6.0,4.583333333,0,0,0,0,0,0,110,0.409090909,0.590909091,3,0.138461538,0.046153846,0,1,32.55813953,10.52631579,89.47368421,0,0,0,66.66666667,0,0,0,0,0,0,145,6064,10507,0,0,5,0,85,10,26,False,9,0
http://www.klik.am/EEUVB/,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,3,4,3,3,5,5,4,5,4.0,3.5,5.0,0,0,0,0,0,0,31,0.903225806,0.096774194,0,0.0,0.0,0,0,91.66666667,100.0,0.0,0,0,0,0.0,0,0,0,1,1,0,0,2480,0,0,1,1,1,25,11,7,False,0,0
http://excel.bigresource.com/Mining-Text-Fields-Y7FskBrx.html,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,4,5,4,11,11,8,6.285714286,8.0,5.6,0,0,0,0,0,0,46,0.869565217,0.130434783,1,0.0,0.0,0,1,55.55555556,0.0,0.0,0,0,0,100.0,0,0,0,1,0,0,750,5458,335398,0,0,4,0,61,21,11,False,1,0
http://wiki.secondlife.com/wiki/Second_Life_Railroad/SLRR_Switch,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,1,4,4,4,10,10,8,5.75,7.0,5.333333333,0,0,0,0,0,0,146,0.945205479,0.054794521,0,0.25,0.25,0,0,100.0,25.0,75.0,0,0,0,77.27272727,0,0,0,1,1,0,279,6661,3700,0,0,6,0,64,19,11,False,0,0
